source_learner_id,age,sex,learning_level,modality,is_re_enrollee,distance_km,target_not_completed,is_synthetic,monthly_income,occupation
ALS_00001,24,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,7654.85,Informal / Contractual Worker
ALS_00002,26,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,12188.61,Informal / Contractual Worker
ALS_00003,31,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,4659.45,Self-Employed / Business Owner
ALS_00005,26,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,20498.3,Self-Employed / Business Owner
ALS_00006,58,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.0,1,False,8008.1,Informal / Contractual Worker
ALS_00008,22,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,1.7,0,False,14577.47,Self-Employed / Business Owner
ALS_00009,15,MALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,0.0,1,False,7150.5,Unemployed / No Income
ALS_00010,55,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,1.7,0,False,9590.98,Formal Employment
ALS_00011,18,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,1.7,0,False,9505.47,Retired / Pensioner
ALS_00012,21,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.0,0,False,12540.59,Self-Employed / Business Owner
ALS_00015,36,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,3.31,0,False,9696.82,Self-Employed / Business Owner
ALS_00017,23,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,9880.72,Formal Employment
ALS_00018,18,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,15123.88,Informal / Contractual Worker
ALS_00021,15,FEMALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,0.0,0,False,13788.87,Self-Employed / Business Owner
ALS_00022,16,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,10626.89,Unemployed / No Income
ALS_00023,14,MALE,ELEMENTARY,FACE_TO_FACE,1.0,0.0,0,False,10525.28,Informal / Contractual Worker
ALS_00024,15,MALE,ELEMENTARY,FACE_TO_FACE,1.0,0.0,0,False,11759.45,Unemployed / No Income
ALS_00026,19,FEMALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,0.0,0,False,8297.35,Informal / Contractual Worker
ALS_00027,18,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.95,0,False,9120.8,OFW (Overseas Filipino Worker)
ALS_00028,29,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.95,0,False,13998.66,OFW (Overseas Filipino Worker)
ALS_00030,23,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.26,0,False,10314.26,Informal / Contractual Worker
ALS_00032,15,FEMALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,1.89,0,False,5892.93,Informal / Contractual Worker
ALS_00034,12,FEMALE,ELEMENTARY,FACE_TO_FACE,0.0,0.95,0,False,8823.95,Formal Employment
ALS_00035,17,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.2,0,False,14698.19,Unemployed / No Income
ALS_00036,15,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.7,0,False,9852.42,Informal / Contractual Worker
ALS_00038,15,MALE,ELEMENTARY,FACE_TO_FACE,1.0,0.95,0,False,10229.9,Unemployed / No Income
ALS_00039,17,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,1.14,0,False,14600.73,Informal / Contractual Worker
ALS_00041,16,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,5.16,0,False,24861.47,Informal / Contractual Worker
ALS_00042,29,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.26,0,False,7935.21,OFW (Overseas Filipino Worker)
ALS_00043,17,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,4.1,0,False,20064.21,Informal / Contractual Worker
ALS_00044,21,MALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,5.16,0,False,6288.6,Informal / Contractual Worker
ALS_00047,13,MALE,ELEMENTARY,FACE_TO_FACE,0.0,0.995,0,False,11834.09,Formal Employment
ALS_00048,24,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.995,0,False,6462.11,Formal Employment
ALS_00050,16,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.995,0,False,20093.59,Formal Employment
ALS_00051,27,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,1.04,0,False,15918.95,Formal Employment
ALS_00052,18,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.995,0,False,18250.95,Informal / Contractual Worker
ALS_00053,21,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.0,0,False,7343.05,Informal / Contractual Worker
ALS_00054,28,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.0,0,False,14884.11,Self-Employed / Business Owner
ALS_00055,24,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,8659.77,Self-Employed / Business Owner
ALS_00056,21,MALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,1.97,0,False,8903.29,Informal / Contractual Worker
ALS_00057,24,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.0,0,False,13738.28,Other
ALS_00058,31,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.0,0,False,16228.48,Other
ALS_00059,31,MALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,3.8,0,False,11991.93,Unemployed / No Income
ALS_00060,33,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.0,0,False,8245.36,Formal Employment
ALS_00061,27,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,7543.06,Other
ALS_00062,17,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,20951.02,Formal Employment
ALS_00063,29,MALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,0.0,0,False,14289.43,OFW (Overseas Filipino Worker)
ALS_00064,19,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.05,0,False,15121.57,Informal / Contractual Worker
ALS_00065,27,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.05,0,False,29218.86,Informal / Contractual Worker
ALS_00066,58,FEMALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,0.05,0,False,7576.92,Self-Employed / Business Owner
ALS_00067,19,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.05,0,False,34605.09,Formal Employment
ALS_00068,19,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,6.06,0,False,45157.36,Formal Employment
ALS_00069,20,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,13.09,0,False,22658.4,Informal / Contractual Worker
ALS_00070,25,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.05,0,False,15870.19,Unemployed / No Income
ALS_00071,17,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.05,0,False,8113.46,Self-Employed / Business Owner
ALS_00072,45,FEMALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,0.05,0,False,17111.71,Formal Employment
ALS_00073,21,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.05,0,False,8962.36,Informal / Contractual Worker
ALS_00099,26,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.0,0,False,10831.97,Retired / Pensioner
ALS_00100,28,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.0,0,False,9597.95,Unemployed / No Income
ALS_00101,30,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.0,0,False,12428.2,Self-Employed / Business Owner
ALS_00102,16,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,19528.59,Formal Employment
ALS_00103,18,MALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,3.62,0,False,8518.43,Retired / Pensioner
ALS_00104,22,FEMALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,3.62,0,False,7020.35,OFW (Overseas Filipino Worker)
ALS_00105,15,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,3.93,0,False,6965.12,Informal / Contractual Worker
ALS_00106,19,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,3.93,0,False,7074.66,Other
ALS_00107,30,MALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,5.77,0,False,5744.53,Informal / Contractual Worker
ALS_00109,45,FEMALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,6.4,0,False,7253.07,Unemployed / No Income
ALS_00110,22,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,19574.24,Informal / Contractual Worker
ALS_00111,16,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.0,0,False,8375.03,Formal Employment
ALS_00112,18,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,6.4,1,False,5691.92,Unemployed / No Income
ALS_00113,31,FEMALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,3.62,0,False,12279.65,Self-Employed / Business Owner
ALS_00114,17,MALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,0.0,0,False,6325.84,Formal Employment
ALS_00115,32,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.995,0,False,11805.76,Formal Employment
ALS_00116,15,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.05,0,False,4997.28,Informal / Contractual Worker
ALS_00117,31,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.05,0,False,7986.91,Retired / Pensioner
ALS_00118,21,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.05,0,False,30168.17,Formal Employment
ALS_00120,21,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.05,1,False,10664.16,Unemployed / No Income
ALS_00121,26,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.05,1,False,3744.22,Formal Employment
ALS_00122,22,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.05,1,False,4186.13,Formal Employment
ALS_00123,22,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.05,1,False,3822.33,Self-Employed / Business Owner
ALS_00127,51,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.05,0,False,8414.1,Informal / Contractual Worker
ALS_00128,27,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.05,0,False,18105.83,Self-Employed / Business Owner
ALS_00129,20,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,13423.66,Formal Employment
ALS_00130,19,MALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,,0,False,10210.34,Informal / Contractual Worker
ALS_00132,23,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,8156.35,Informal / Contractual Worker
ALS_00133,19,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,5.64,0,False,19518.33,Formal Employment
ALS_00135,16,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,10098.86,Formal Employment
ALS_00136,17,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,21749.39,Retired / Pensioner
ALS_00137,31,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,7914.2,Informal / Contractual Worker
ALS_00138,22,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,11223.92,Formal Employment
ALS_00139,24,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,13486.91,Formal Employment
ALS_00141,24,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,1.73,0,False,12937.98,Formal Employment
ALS_00143,16,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,2.13,0,False,6277.89,Formal Employment
ALS_00144,25,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,8112.58,Retired / Pensioner
ALS_00145,30,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,10014.7,Unemployed / No Income
ALS_00146,17,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,7449.0,Formal Employment
ALS_00148,20,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,14835.77,Self-Employed / Business Owner
ALS_00149,24,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,4.63,0,False,14251.37,Informal / Contractual Worker
ALS_00150,19,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,4533.78,Retired / Pensioner
ALS_00151,21,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,4854.38,Informal / Contractual Worker
ALS_00153,19,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,6144.4,Unemployed / No Income
ALS_00154,29,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,11530.68,Informal / Contractual Worker
ALS_00155,26,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,27307.8,Self-Employed / Business Owner
ALS_00156,27,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,6.16,0,False,9209.03,Other
ALS_00157,27,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,6.16,0,False,12244.02,Other
ALS_00158,30,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,6779.1,OFW (Overseas Filipino Worker)
ALS_00159,15,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,6.4,1,False,6178.49,Formal Employment
ALS_00161,11,FEMALE,ELEMENTARY,BLENDED,0.0,12.06,0,False,6828.93,Formal Employment
ALS_00162,13,FEMALE,ELEMENTARY,FACE_TO_FACE,0.0,0.0,0,False,4533.49,Formal Employment
ALS_00166,20,MALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,1.13,0,False,10799.39,Informal / Contractual Worker
ALS_00167,23,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,5.99,0,False,16751.57,Formal Employment
ALS_00169,26,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,9315.91,Formal Employment
ALS_00170,16,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,20504.59,Unemployed / No Income
ALS_00171,25,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,11956.55,Informal / Contractual Worker
ALS_00173,31,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,10760.25,Other
ALS_00175,14,MALE,ELEMENTARY,BLENDED,1.0,0.0,1,False,10011.49,Unemployed / No Income
ALS_00177,18,MALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,1.04,1,False,5006.78,Self-Employed / Business Owner
ALS_00178,41,FEMALE,JUNIOR_HIGH_SCHOOL,BLENDED,0.0,0.995,0,False,13804.7,Formal Employment
ALS_00179,36,FEMALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.03,0,False,13620.34,Informal / Contractual Worker
ALS_00180,18,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,18334.01,Unemployed / No Income
ALS_00183,15,MALE,JUNIOR_HIGH_SCHOOL,MODULAR,0.0,0.0,0,False,7624.49,Self-Employed / Business Owner
ALS_00184,17,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,3906.42,Informal / Contractual Worker
ALS_00185,17,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,11517.65,Formal Employment
ALS_00186,34,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,1,False,7886.27,Informal / Contractual Worker
ALS_00187,15,MALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,11.07,0,False,8306.11,Other
ALS_00190,27,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.0,0,False,10805.06,Self-Employed / Business Owner
ALS_00191,16,FEMALE,JUNIOR_HIGH_SCHOOL,FACE_TO_FACE,0.0,0.05,0,False,23131.14,Self-Employed / Business Owner
